County,Population
Hennepin County,1235478
Ramsey County,541493
Dakota County,418201
Anoka County,347431
Washington County,253317
St. Louis County,200080
Stearns County,156819
Olmsted County,153065
Scott County,143372
Wright County,132745
Carver County,100416
Sherburne County,93231
Blue Earth County,66322
Rice County,65765
Crow Wing County,63855
Clay County,62801
Otter Tail County,57992
Chisago County,54727
Winona County,50847
Goodhue County,46217
Beltrami County,46117
Itasca County,45203
Kandiyohi County,42658
Benton County,39779
Mower County,39602
Isanti County,38974
Douglas County,37203
Steele County,36676
McLeod County,35825
Carlton County,35540
Nicollet County,33783
Becker County,33773
Morrison County,32949
Polk County,31591
Freeborn County,30526
Pine County,29129
Cass County,29022
Le Sueur County,27983
Lyon County,25839
Mille Lacs County,25728
Brown County,25211
Todd County,24440
Meeker County,23079
Nobles County,21839
Wabasha County,21500
Fillmore County,20888
Hubbard County,20862
Dodge County,20582
Martin County,19964
Waseca County,18809
Houston County,18663
Kanabec County,16004
Aitkin County,15834
Roseau County,15462
Redwood County,15331
Sibley County,14912
Renville County,14721
Pennington County,14184
Faribault County,13896
Wadena County,13646
Koochiching County,12644
Chippewa County,12010
Cottonwood County,11372
Pope County,10980
Watonwan County,10973
Lake County,10569
Jackson County,10047
Yellow Medicine County,9868
Stevens County,9784
Rock County,9413
Swift County,9411
Marshall County,9392
Pipestone County,9185
Clearwater County,8812
Murray County,8353
Lac qui Parle County,6773
Norman County,6559
Wilkin County,6343
Grant County,5938
Lincoln County,5707
Mahnomen County,5506
Cook County,5311
Big Stone County,5016
Kittson County,4337
Red Lake County,4008
Lake of the Woods County,3809
Traverse County,3337